student1013 , student1029 ,   0.8719001536132299
student1013 , student1120 ,   0.8441415160205563
student1013 , student1188 ,   0.8554967110475808
student1013 , student1200 ,   0.8316988165450425
student1013 , student1237 ,   0.818373577536349
student1013 , student1266 ,   0.8481481605105929
student1013 , student1476 ,   0.8531948347636285
student1013 , student1477 ,   0.8452093466788315
student1013 , student1482 ,   0.8414397245361691
student1013 , student1542 ,   0.857668240896251
student1013 , student1547 ,   0.8340645360352436
student1013 , student1571 ,   0.8080884760384173
student1013 , student1639 ,   0.8512682239154915
student1013 , student1828 ,   0.8059848829093261
student1013 , student1833 ,   0.8615822512105593
student1013 , student1845 ,   0.8233206467022972
student1013 , student1915 ,   0.8002947496989417
student1013 , student1943 ,   0.8126657927200898
student1013 , student1976 ,   0.8502697650802441
student1013 , student1978 ,   0.8137246430381251
student1021 , student1176 ,   0.8009800679239876
student1021 , student1616 ,   0.8262065298308114
student1021 , student1725 ,   0.8205481161452659
student1029 , student1120 ,   0.8510342950244629
student1029 , student1176 ,   0.8005671733106403
student1029 , student1188 ,   0.8452303338817686
student1029 , student1200 ,   0.817620117123241
student1029 , student1237 ,   0.8078145483210092
student1029 , student1266 ,   0.8532231760675425
student1029 , student1476 ,   0.8413157416297888
student1029 , student1477 ,   0.8626205405595407
student1029 , student1482 ,   0.8487591618357323
student1029 , student1542 ,   0.8452102377614398
student1029 , student1547 ,   0.8447906735135382
student1029 , student1616 ,   0.804092319213856
student1029 , student1639 ,   0.8384497974409231
student1029 , student1828 ,   0.8148267665865065
student1029 , student1833 ,   0.8674307207615055
student1029 , student1845 ,   0.810687870310064
student1029 , student1915 ,   0.8182009212886414
student1029 , student1943 ,   0.8147801020428378
student1029 , student1976 ,   0.8592230175425589
student1029 , student1978 ,   0.8048086794170923
student1066 , student1278 ,   0.8000857881735433
student1066 , student1981 ,   0.8214459403707518
student1110 , student1120 ,   0.8195501602042919
student1110 , student1188 ,   0.8317875647190852
student1110 , student1237 ,   0.8267162219909222
student1110 , student1302 ,   0.8179404061885527
student1110 , student1313 ,   0.8386878677053389
student1110 , student1364 ,   0.8024645671609796
student1110 , student1422 ,   0.8102191617600938
student1110 , student1476 ,   0.8314898335323972
student1110 , student1502 ,   0.8130129825817181
student1110 , student1547 ,   0.8200111147660164
student1110 , student1571 ,   0.8392194880905185
student1110 , student1616 ,   0.833137928597905
student1110 , student1639 ,   0.8195923311842812
student1110 , student1725 ,   0.8096094731333447
student1110 , student1772 ,   0.8252784430244824
student1110 , student1828 ,   0.8273831203830765
student1110 , student1833 ,   0.8113419969174196
student1110 , student1845 ,   0.8250528878773804
student1110 , student1938 ,   0.8264260143777471
student1110 , student1943 ,   0.8038346549136777
student1110 , student1976 ,   0.8141736169852186
student1110 , student1978 ,   0.8150112379027454
student1120 , student1176 ,   0.8007409945610569
student1120 , student1188 ,   0.8450439648663781
student1120 , student1200 ,   0.8160811830142429
student1120 , student1237 ,   0.8123997579218365
student1120 , student1266 ,   0.8257567403565882
student1120 , student1313 ,   0.8228250559916794
student1120 , student1364 ,   0.8211041249453075
student1120 , student1476 ,   0.8791703354942147
student1120 , student1477 ,   0.8597167808137267
student1120 , student1482 ,   0.8298732766786824
student1120 , student1502 ,   0.8016590792207319
student1120 , student1542 ,   0.8145545798354001
student1120 , student1547 ,   0.8746664885294915
student1120 , student1571 ,   0.8465908149286177
student1120 , student1616 ,   0.8483174953511152
student1120 , student1639 ,   0.8658152305059605
student1120 , student1725 ,   0.837248527019743
student1120 , student1772 ,   0.8156064682781942
student1120 , student1828 ,   0.8524448122138227
student1120 , student1833 ,   0.8667280590408063
student1120 , student1845 ,   0.8609141090343804
student1120 , student1943 ,   0.8177067027241356
student1120 , student1976 ,   0.8733970281627399
student1120 , student1978 ,   0.803368758941752
student1132 , student1188 ,   0.8046838507337943
student1132 , student1738 ,   0.8019291815320464
student1132 , student1943 ,   0.8017775610782785
student1176 , student1477 ,   0.8042606784116102
